,letter,spam SSE
2,164957.65284918138,19847.4246124482
3,151350.31049519608,16754.54466659457
4,141198.55167235425,14259.803408982694
5,131033.19915695886,12351.517703340784
6,122012.36169339129,10717.378999785135
7,112907.52636272051,9577.55904071017
8,106307.75598760304,8585.665140601306
9,100985.69302779724,7908.4940344582565
10,96509.82366275098,7264.500579057281
11,92836.88234785249,6727.380258831875
12,89421.68637496367,6147.064077093218
13,86019.04635435305,5742.180495904171
14,83143.24677773546,5428.825743308242
16,78887.86161878545,4908.130149556637
18,74586.24037038318,4542.377632733653
20,71445.21277002605,4207.178813576052
25,65430.23675372168,3507.801168110099
30,60603.61031958395,3066.383056766227
